EIS4000_data-2006-03-26-0836.txt

eis4000.EIS4000 Time	RPM	MP	OAT	Fuel Flow	Fuel Qty	CHT 1	CHT 2	CHT 3	CHT 4	EGT 1	EGT 2	EGT 3	EGT 4	Oil Temp	Oil Press	Volt	Hour Meter	Hrs	Min	Sec	Hours End	Min End	Unit Temp
(seconds)	(RPM)	(in HG)	(deg C)	(USG/hr)	(USG)	(deg C)	(deg C)	(deg C)	(deg C)	(deg C)	(deg C)	(deg C)	(deg C)	(deg C)	(psi)	(volt)	(hr)	(hr)	(mn)	(s)	(hr)	(mn)	(deg C)
1143381146.08	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381147.05	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381148.06	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381149.05	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381150.01	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381151.01	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381152.09	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381153.07	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381154.08	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381155.03	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381156.04	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381157.02	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381158.0	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381159.08	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381160.07	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381161.05	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381162.04	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381163.02	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381164.0	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381165.08	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381166.09	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381167.06	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381168.05	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381169.03	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381170.02	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381171.03	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381172.02	0	30	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
